dataset,subset,recording_id,split,primary_language,domain,audio_duration_sec,scored_duration_sec,sample_rate,channels,num_speakers,num_segments,speech_duration_sec,overlap_duration_sec,overlap_pct,median_turn_sec,short_turn_pct,speaker_imbalance,code_switch_turns,code_switch_turn_pct,mixed_language_turns,same_speaker_language_switches
bangor_miami_eng,english_primary_non_maria,herring10,test,en,adult_codeswitch_herring,1811.4825,1730.739,16000,1,2,472,1743.153,174.966,10.0373,2.684,11.6525,0.613585,244,30.3106,81,188
bangor_miami_eng,english_primary_non_maria,herring13,test,en,adult_codeswitch_herring,1793.648938,1447.219,16000,1,2,608,1252.213,151.855,12.1269,1.68,27.1382,0.64716,235,28.7286,107,148
bangor_miami_eng,english_primary_non_maria,herring15,test,en,adult_codeswitch_herring,1793.659438,1793.659,16000,1,2,418,1772.548,128.724,7.2621,2.1465,23.2057,0.674077,6,0.8299,4,4
bangor_miami_eng,english_primary_non_maria,herring16,test,en,adult_codeswitch_herring,1851.051625,1850.506,16000,1,2,339,1523.499,48.892,3.2092,3.068,8.8496,0.589458,204,38.8571,67,121
bangor_miami_eng,english_primary_non_maria,herring17,test,en,adult_codeswitch_herring,1798.4585,1798.459,16000,1,2,847,1670.298,236.921,14.1844,1.596,29.1617,0.568843,433,39.7248,67,216
bangor_miami_eng,english_primary_non_maria,sastre03,test,en,adult_codeswitch_sastre,2582.229688,2582.195,16000,1,3,787,2065.913,339.679,16.4421,2.066,16.6455,0.489146,549,49.0617,134,282
bangor_miami_eng,english_primary_non_maria,sastre04,test,en,adult_codeswitch_sastre,1886.770813,1886.771,16000,1,2,751,1758.638,209.609,11.9188,1.846,20.506,0.556422,133,10.8571,64,106
bangor_miami_eng,english_primary_non_maria,sastre06,test,en,adult_codeswitch_sastre,1820.091188,1746.122,16000,1,2,400,1715.057,199.627,11.6397,2.714,11.75,0.729055,161,20.5882,82,99
bangor_miami_eng,english_primary_non_maria,sastre07,test,en,adult_codeswitch_sastre,1798.151,1797.141,16000,1,2,618,1606.109,300.503,18.71,2.02,15.534,0.505074,52,5.1948,29,37
bangor_miami_eng,english_primary_non_maria,sastre08,test,en,adult_codeswitch_sastre,2000.011875,1999.234,16000,1,2,751,1903.058,195.346,10.2648,1.997,17.7097,0.584621,418,39.0289,163,183
bangor_miami_eng,english_primary_non_maria,sastre09,test,en,adult_codeswitch_sastre,2402.10975,2402.104,16000,1,2,1164,2317.193,417.079,17.9993,1.829,20.1031,0.512313,464,31.1828,162,313
bangor_miami_eng,english_primary_non_maria,sastre10,test,en,adult_codeswitch_sastre,2365.4355,2297.455,16000,1,2,962,2276.407,397.772,17.4737,1.788,23.1809,0.572759,233,13.1046,89,176
bangor_miami_eng,english_primary_non_maria,sastre11,test,en,adult_codeswitch_sastre,2425.290938,2424.801,16000,1,2,719,2240.531,212.05,9.4643,2.409,19.4715,0.724899,473,44.2056,100,184
bangor_miami_eng,english_primary_non_maria,sastre12,test,en,adult_codeswitch_sastre,1858.724,1858.707,16000,1,2,835,1779.707,204.586,11.4955,1.494,30.1796,0.510287,124,9.2262,75,76
bangor_miami_eng,english_primary_non_maria,sastre13,test,en,adult_codeswitch_sastre,1782.5745,1776.85,16000,1,2,541,1772.705,203.295,11.4681,1.637,31.4233,0.623554,0,0.0,0,0
bangor_miami_eng,english_primary_non_maria,zeledon02,test,en,adult_codeswitch_zeledon,1613.878,1613.866,16000,1,2,622,1605.257,371.049,23.1146,1.9995,22.6688,0.561473,6,0.5988,2,8
bangor_miami_eng,english_primary_non_maria,zeledon03,test,en,adult_codeswitch_zeledon,1825.237313,1825.052,16000,1,2,442,1806.128,90.567,5.0144,2.525,11.3122,0.656026,70,9.3209,24,47
bangor_miami_eng,english_primary_non_maria,zeledon04,test,en,adult_codeswitch_zeledon,1308.862438,1308.799,16000,1,2,650,1282.557,295.258,23.021,1.8345,21.0769,0.52154,344,41.697,47,185
bangor_miami_eng,english_primary_non_maria,zeledon06,test,en,adult_codeswitch_zeledon,1825.985938,1825.986,16000,1,2,722,1796.037,198.542,11.0544,1.9245,19.8061,0.613998,213,19.2065,109,128
bangor_miami_eng,english_primary_non_maria,zeledon08,test,en,adult_codeswitch_zeledon,2273.337813,2253.107,16000,1,2,1080,2137.367,488.18,22.8403,1.716,22.7778,0.57409,676,47.8754,117,382
bangor_miami_eng,english_primary_non_maria,zeledon09,test,en,adult_codeswitch_zeledon,1851.628563,1850.666,16000,1,2,351,1836.054,105.909,5.7683,3.442,12.8205,0.509536,125,17.2176,59,88
bangor_miami_eng,english_primary_non_maria,zeledon11,test,en,adult_codeswitch_zeledon,1843.126563,1824.559,16000,1,2,423,1804.712,144.331,7.9975,2.357,21.2766,0.522257,63,6.7308,30,54
bangor_miami_eng,english_primary_non_maria,zeledon13,test,en,adult_codeswitch_zeledon,2082.852563,2018.959,16000,1,2,564,2016.476,160.406,7.9548,1.84,23.7589,0.582509,18,1.283,12,12
playlogue,official_test,ew_42ec_11023,test,en,adult_child_ew,845.740438,845.74,16000,1,2,242,550.56,0.0,0.0,1.52,29.3388,0.837257,,,,
playlogue,official_test,ew_42ec_12007,test,en,adult_child_ew,890.334,890.334,16000,1,2,443,647.6,0.0,0.0,1.12,43.7923,0.694132,,,,
playlogue,official_test,ew_42ec_12014,test,en,adult_child_ew,867.918375,867.918,16000,1,2,372,545.76,0.0,0.0,1.12,45.1613,0.652888,,,,
playlogue,official_test,ew_42ec_12029,test,en,adult_child_ew,756.729,756.729,16000,1,2,320,533.44,0.0,0.0,1.12,43.125,0.674265,,,,
playlogue,official_test,ew_42ec_22118,test,en,adult_child_ew,737.438,737.438,16000,1,2,179,468.64,0.0,0.0,1.6,30.7263,0.529874,,,,
playlogue,official_test,ew_42ec_22120,test,en,adult_child_ew,937.22125,937.221,16000,1,2,377,687.84,0.0,0.0,1.52,35.0133,0.519656,,,,
playlogue,official_test,ew_42ec_22128,test,en,adult_child_ew,592.731,592.731,16000,1,2,199,386.48,0.0,0.0,1.36,37.1859,0.871248,,,,
playlogue,official_test,ew_42ec_22148,test,en,adult_child_ew,654.498,654.498,16000,1,2,198,360.32,0.0,0.0,1.16,40.9091,0.659636,,,,
playlogue,official_test,ew_42pc_11023,test,en,adult_child_ew,993.567375,993.567,16000,1,2,321,599.76,0.0,0.0,1.12,47.0405,0.648393,,,,
playlogue,official_test,ew_42pc_12007,test,en,adult_child_ew,525.609813,525.61,16000,1,2,305,383.04,0.0,0.0,0.96,52.7869,0.535505,,,,
playlogue,official_test,ew_42pc_12014,test,en,adult_child_ew,589.478,589.478,16000,1,2,293,405.52,0.0,0.0,0.96,50.1706,0.572697,,,,
playlogue,official_test,ew_42pc_12029,test,en,adult_child_ew,1036.016313,1036.016,16000,1,2,335,763.28,0.0,0.0,1.68,32.5373,0.707159,,,,
playlogue,official_test,ew_42pc_22118,test,en,adult_child_ew,750.994313,750.994,16000,1,2,248,491.76,0.0,0.0,1.12,44.3548,0.723117,,,,
playlogue,official_test,ew_42pc_22120,test,en,adult_child_ew,742.138813,742.139,16000,1,2,270,522.96,0.0,0.0,1.28,42.2222,0.521799,,,,
playlogue,official_test,ew_42pc_22128,test,en,adult_child_ew,496.874063,496.874,16000,1,2,152,300.4,0.0,0.0,0.8,58.5526,0.589348,,,,
playlogue,official_test,ew_42pc_22148,test,en,adult_child_ew,787.848,787.848,16000,1,2,373,568.48,0.0,0.0,1.12,45.0402,0.66662,,,,
playlogue,official_test,ew_54ec_11023,test,en,adult_child_ew,936.90775,936.908,16000,1,2,286,586.48,0.0,0.0,1.32,37.7622,0.860728,,,,
playlogue,official_test,ew_54ec_12007,test,en,adult_child_ew,1085.570625,1085.571,16000,1,2,412,748.0,0.0,0.0,1.28,37.6214,0.562139,,,,
playlogue,official_test,ew_54ec_12014,test,en,adult_child_ew,598.3565,598.356,16000,1,2,132,360.88,0.0,0.0,1.6,37.1212,0.529151,,,,
playlogue,official_test,ew_54ec_12029,test,en,adult_child_ew,1059.9445,1059.945,16000,1,2,277,618.88,0.0,0.0,1.44,36.8231,0.558945,,,,
playlogue,official_test,ew_54ec_22118,test,en,adult_child_ew,1238.261,1238.261,16000,1,2,496,722.4,0.0,0.0,1.04,48.7903,0.650941,,,,
playlogue,official_test,ew_54ec_22120,test,en,adult_child_ew,832.3135,832.313,16000,1,2,229,545.12,0.0,0.0,1.44,31.8777,0.558116,,,,
playlogue,official_test,ew_54ec_22128,test,en,adult_child_ew,551.758375,551.758,16000,1,2,202,399.76,0.0,0.0,1.2,36.6337,0.788873,,,,
playlogue,official_test,ew_54ec_22148,test,en,adult_child_ew,799.971,799.971,16000,1,2,298,510.48,0.0,0.0,1.28,35.5705,0.686726,,,,
playlogue,official_test,gleason_father_david,test,en,adult_child_gleason,185.069,185.069,16000,1,2,85,110.08,0.0,0.0,0.8,63.5294,0.527616,,,,
playlogue,official_test,gleason_father_helen,test,en,adult_child_gleason,1656.886,1656.886,16000,1,2,819,1204.4,0.0,0.0,1.04,47.2527,0.511325,,,,
playlogue,official_test,gleason_father_isadora,test,en,adult_child_gleason,1948.785,1948.785,16000,1,2,1408,1420.16,0.0,0.0,0.64,63.2102,0.687528,,,,
playlogue,official_test,gleason_mother_david,test,en,adult_child_gleason,1812.79,1812.79,16000,1,2,1117,1379.12,0.0,0.0,0.88,56.1325,0.645861,,,,
playlogue,official_test,gleason_mother_helen,test,en,adult_child_gleason,1964.578,1964.578,16000,1,2,981,1414.4,0.0,0.0,1.04,48.42,0.664593,,,,
playlogue,official_test,gleason_mother_isadora,test,en,adult_child_gleason,343.049,343.049,16000,1,2,245,254.08,0.0,0.0,0.8,60.8163,0.722607,,,,
playlogue,official_test,vh_eastf,test,en,adult_child_vh,439.336,439.336,16000,1,2,208,319.04,0.0,0.0,1.36,38.9423,0.512036,,,,
playlogue,official_test,vh_huntf,test,en,adult_child_vh,617.603,617.603,16000,1,2,262,413.92,0.0,0.0,1.08,46.9466,0.607074,,,,
playlogue,official_test,vh_riotf,test,en,adult_child_vh,342.016,342.016,16000,1,2,130,253.12,0.0,0.0,1.2,41.5385,0.597345,,,,
playlogue,official_test,vh_skipf,test,en,adult_child_vh,565.545,565.545,16000,1,2,286,375.12,0.0,0.0,0.96,50.6993,0.516955,,,,
